NAME_PART_1;NAME_PART_2;TEMPLATE_ID;TOURNAMENT_SEASON_ID;TOURNAMENT_STAGE_ID;EVENT_ID;UTIME;DATA;TIME;DATAPT;TIMEPT;DATABR;TIMEBR;STAGE_TYPE;STAGE;STAGE_START_TIME;GAME_TIME;HOME_PARTICIPANT_IDS;HOME_NAME;AWAY_PARTICIPANT_IDS;AWAY_NAME;BET365_MO1FT;BET365_MOXFT;BET365_MO2FT;BET365_MO1HT;BET365_MOXHT;BET365_MO2HT;BET365_HOMEAWAY1FT;BET365_HOMEAWAY2FT;BET365_HOMEAWAY1HT;BET365_HOMEAWAY2HT;BET365_OV05FT;BET365_UN05FT;BET365_OV15FT;BET365_UN15FT;BET365_OV25FT;BET365_UN25FT;BET365_OV35FT;BET365_UN35FT;BET365_OV45FT;BET365_UN45FT;BET365_OV05HT;BET365_UN05HT;BET365_OV15HT;BET365_UN15HT;BET365_OV25HT;BET365_UN25HT;BET365_OV35HT;BET365_UN35HT;BET365_OV45HT;BET365_UN45HT;BET365_AH_M_4_1;BET365_AH_M_4_2;BET365_AH_M_375_1;BET365_AH_M_375_2;BET365_AH_M_35_1;BET365_AH_M_35_2;BET365_AH_M_325_1;BET365_AH_M_325_2;BET365_AH_M_3_1;BET365_AH_M_3_2;BET365_AH_M_275_1;BET365_AH_M_275_2;BET365_AH_M_25_1;BET365_AH_M_25_2;BET365_AH_M_225_1;BET365_AH_M_225_2;BET365_AH_M_2_1;BET365_AH_M_2_2;BET365_AH_M_175_1;BET365_AH_M_175_2;BET365_AH_M_15_1;BET365_AH_M_15_2;BET365_AH_M_125_1;BET365_AH_M_125_2;BET365_AH_M_1_1;BET365_AH_M_1_2;BET365_AH_M_075_1;BET365_AH_M_075_2;BET365_AH_M_05_1;BET365_AH_M_05_2;BET365_AH_M_025_1;BET365_AH_M_025_2;BET365_AH_0_1;BET365_AH_0_2;BET365_AH_P_025_1;BET365_AH_P_025_2;BET365_AH_P_05_1;BET365_AH_P_05_2;BET365_AH_P_075_1;BET365_AH_P_075_2;BET365_AH_P_1_1;BET365_AH_P_1_2;BET365_AH_P_125_1;BET365_AH_P_125_2;BET365_AH_P_15_1;BET365_AH_P_15_2;BET365_AH_P_175_1;BET365_AH_P_175_2;BET365_AH_P_2_1;BET365_AH_P_2_2;BET365_AH_P_225_1;BET365_AH_P_225_2;BET365_AH_P_25_1;BET365_AH_P_25_2;BET365_AH_P_275_1;BET365_AH_P_275_2;BET365_AH_P_3_1;BET365_AH_P_3_2;BET365_AH_P_325_1;BET365_AH_P_325_2;BET365_AH_P_35_1;BET365_AH_P_35_2;BET365_AH_P_375_1;BET365_AH_P_375_2;BET365_AH_P_4_1;BET365_AH_P_4_2;BET365_AH_M_4_1_HT;BET365_AH_M_4_2_HT;BET365_AH_M_375_1_HT;BET365_AH_M_375_2_HT;BET365_AH_M_35_1_HT;BET365_AH_M_35_2_HT;BET365_AH_M_325_1_HT;BET365_AH_M_325_2_HT;BET365_AH_M_3_1_HT;BET365_AH_M_3_2_HT;BET365_AH_M_275_1_HT;BET365_AH_M_275_2_HT;BET365_AH_M_25_1_HT;BET365_AH_M_25_2_HT;BET365_AH_M_225_1_HT;BET365_AH_M_225_2_HT;BET365_AH_M_2_1_HT;BET365_AH_M_2_2_HT;BET365_AH_M_175_1_HT;BET365_AH_M_175_2_HT;BET365_AH_M_15_1_HT;BET365_AH_M_15_2_HT;BET365_AH_M_125_1_HT;BET365_AH_M_125_2_HT;BET365_AH_M_1_1_HT;BET365_AH_M_1_2_HT;BET365_AH_M_075_1_HT;BET365_AH_M_075_2_HT;BET365_AH_M_05_1_HT;BET365_AH_M_05_2_HT;BET365_AH_M_025_1_HT;BET365_AH_M_025_2_HT;BET365_AH_0_1_HT;BET365_AH_0_2_HT;BET365_AH_P_025_1_HT;BET365_AH_P_025_2_HT;BET365_AH_P_05_1_HT;BET365_AH_P_05_2_HT;BET365_AH_P_075_1_HT;BET365_AH_P_075_2_HT;BET365_AH_P_1_1_HT;BET365_AH_P_1_2_HT;BET365_AH_P_125_1_HT;BET365_AH_P_125_2_HT;BET365_AH_P_15_1_HT;BET365_AH_P_15_2_HT;BET365_AH_P_175_1_HT;BET365_AH_P_175_2_HT;BET365_AH_P_2_1_HT;BET365_AH_P_2_2_HT;BET365_AH_P_225_1_HT;BET365_AH_P_225_2_HT;BET365_AH_P_25_1_HT;BET365_AH_P_25_2_HT;BET365_AH_P_275_1_HT;BET365_AH_P_275_2_HT;BET365_AH_P_3_1_HT;BET365_AH_P_3_2_HT;BET365_AH_P_325_2_HT;BET365_AH_P_325_1_HT;BET365_AH_P_35_1_HT;BET365_AH_P_35_2_HT;BET365_AH_P_375_1_HT;BET365_AH_P_375_2_HT;BET365_AH_P_4_1_HT;BET365_AH_P_4_2_HT;BET365_EH_M_4_1;BET365_EH_M_4_X;BET365_EH_M_4_2;BET365_EH_M_3_1;BET365_EH_M_3_X;BET365_EH_M_3_2;BET365_EH_M_2_1;BET365_EH_M_2_X;BET365_EH_M_2_2;BET365_EH_M_1_1;BET365_EH_M_1_X;BET365_EH_M_1_2;BET365_EH_P_1_1;BET365_EH_P_1_X;BET365_EH_P_1_2;BET365_EH_P_2_1;BET365_EH_P_2_X;BET365_EH_P_2_2;BET365_EH_P_3_1;BET365_EH_P_3_X;BET365_EH_P_3_2;BET365_EH_P_4_1;BET365_EH_P_4_X;BET365_EH_P_4_2;BET365_EH_M_4_1_HT;BET365_EH_M_4_X_HT;BET365_EH_M_4_2_HT;BET365_EH_M_3_1_HT;BET365_EH_M_3_X_HT;BET365_EH_M_3_2_HT;BET365_EH_M_2_1_HT;BET365_EH_M_2_X_HT;BET365_EH_M_2_2_HT;BET365_EH_M_1_1_HT;BET365_EH_M_1_X_HT;BET365_EH_M_1_2_HT;BET365_EH_P_1_1_HT;BET365_EH_P_1_X_HT;BET365_EH_P_1_2_HT;BET365_EH_P_2_1_HT;BET365_EH_P_2_X_HT;BET365_EH_P_2_2_HT;BET365_EH_P_3_1_HT;BET365_EH_P_3_X_HT;BET365_EH_P_3_2_HT;BET365_EH_P_4_1_HT;BET365_EH_P_4_X_HT;BET365_EH_P_4_2_HT;BET365_DC_1X;BET365_DC_12;BET365_DC_X2;BET365_DC_1X_HT;BET365_DC_12_HT;BET365_DC_X2_HT;BET365_HT_FT_11;BET365_HT_FT_1X;BET365_HT_FT_12;BET365_HT_FT_X1;BET365_HT_FT_XX;BET365_HT_FT_X2;BET365_HT_FT_21;BET365_HT_FT_2X;BET365_HT_FT_22;BET365_CS_00;BET365_CS_01;BET365_CS_02;BET365_CS_10;BET365_CS_11;BET365_CS_12;BET365_CS_20;BET365_CS_21;BET365_CS_22;BET365_CS_30;BET365_CS_31;BET365_CS_32;BET365_CS_00_HT;BET365_CS_01_HT;BET365_CS_02_HT;BET365_CS_10_HT;BET365_CS_11_HT;BET365_CS_12_HT;BET365_CS_20_HT;BET365_CS_21_HT;BET365_CS_22_HT;BET365_CS_30_HT;BET365_CS_31_HT;BET365_CS_32_HT;BET365_BTTS_Y;BET365_BTTS_N;BET365_BTTS_Y_HT;BET365_BTTS_N_HT;CV_HDA_365;CV_HDA_M_365;CV_HDA_A_365;CV_HDA_P_365;CV_HDA_D_365;CV_HDA_O_365;CV_HDA_S_365
Africa;Africa Cup of Nations;1_8bP2bXmH;6Jzuq5IH;2TrRffR3;WvaVGXEB;1706115600;2024-01-24;17:00;2024-01-24;17:00;2024-01-24;14:00;SCHEDULED;SCHEDULED;;-1;QLENxLuR;Namibia;jVn5lThB;Mali;7.0;3.6;1.6;7.0;2.05;2.25;4.5;1.18;;;1.08;8.0;1.44;2.63;2.4;1.53;4.5;1.18;11.0;1.05;1.53;2.38;3.5;1.29;11.0;1.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.9;1.13;5.5;1.15;4.5;1.19;2.85;1.4;2.3;1.6;2.05;1.8;1.7;2.1;1.53;2.43;1.43;2.75;1.3;3.45;1.17;5.0;1.15;5.5;1.13;5.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.4;1.12;5.25;1.16;3.7;1.26;2.05;1.8;1.6;2.3;1.4;2.85;1.17;5.0;1.13;5.9;1.11;6.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.3;3.4;2.75;;;;;;;;;;;;;;;;;;;;;;1.57;3.0;6.5;;;;;;;;;;2.3;1.29;1.1;1.57;1.73;1.08;12.0;19.0;29.0;12.0;4.5;4.0;51.0;15.0;2.5;6.5;5.0;6.0;12.0;7.0;9.5;34.0;21.0;23.0;81.0;51.0;67.0;2.38;3.25;8.5;7.5;10.0;26.0;41.0;51.0;81.0;151.0;251.0;;2.5;1.5;7.0;1.1;0.5481394589278848;0.582694106623093;0.6092853059332739;0.6089508541509961;0.6092853059332738;0.5983057926160978;0.6024029259073441
Africa;Africa Cup of Nations;1_8bP2bXmH;6Jzuq5IH;2TrRffR3;tj6IJZUh;1706115600;2024-01-24;17:00;2024-01-24;17:00;2024-01-24;14:00;SCHEDULED;SCHEDULED;;-1;W2ijYvlr;South Africa;QqZVYk95;Tunisia;3.8;3.1;2.15;4.5;1.95;2.88;2.63;1.44;;;1.1;7.0;1.44;2.63;2.4;1.53;4.5;1.18;11.0;1.05;1.53;2.38;3.5;1.29;11.0;1.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;1.1;4.5;1.19;3.45;1.3;3.0;1.38;2.43;1.53;1.98;1.88;1.68;2.15;1.48;2.6;1.3;3.45;1.24;3.9;1.2;4.4;1.13;5.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;1.13;4.1;1.23;3.3;1.33;2.3;1.6;1.63;2.35;1.38;3.0;1.23;4.0;1.1;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.67;3.75;4.33;;;;;;;;;;;;;;;;;;;;;;1.4;3.5;10.0;;;;;;;;;;1.67;1.36;1.25;1.4;1.8;1.17;6.5;15.0;29.0;7.5;4.33;5.0;41.0;15.0;3.6;6.5;6.0;9.0;8.5;6.0;9.5;17.0;13.0;17.0;41.0;34.0;41.0;2.38;4.0;12.0;5.5;9.0;26.0;21.0;34.0;67.0;81.0;126.0;301.0;2.1;1.67;6.0;1.13;0.22414875994586514;0.2419301593505282;0.2542334738071744;0.25385700428964675;0.2542334738071745;0.2487940405277039;0.25105228943306707
Africa;Africa Cup of Nations;1_8bP2bXmH;6Jzuq5IH;2TrRffR3;0U7mXhah;1706126400;2024-01-24;20:00;2024-01-24;20:00;2024-01-24;17:00;SCHEDULED;SCHEDULED;;-1;KzAbFwJ7;Tanzania;phn9mm8H;D.R. Congo;7.0;4.5;1.45;7.5;2.2;2.0;5.5;1.14;;;1.07;9.0;1.33;3.25;2.05;1.75;3.75;1.25;8.0;1.08;1.44;2.63;3.0;1.36;9.0;1.07;23.0;1.01;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;1.1;7.0;1.1;6.4;1.12;5.9;1.13;5.25;1.16;3.45;1.3;2.68;1.45;2.38;1.55;2.05;1.75;1.78;2.1;1.58;2.35;1.43;2.75;1.28;3.55;1.23;4.0;1.2;4.4;1.13;5.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;1.1;7.0;1.1;5.75;1.14;4.25;1.21;2.25;1.63;1.78;2.1;1.5;2.5;1.25;3.8;1.19;4.5;1.15;5.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.63;3.5;2.3;;;;;;;;;;;;;;;;;;;;;;1.73;2.88;5.5;;;;;;;;;;2.63;1.18;1.1;1.73;1.62;1.07;13.0;19.0;23.0;15.0;5.5;4.0;51.0;17.0;2.2;9.0;5.5;6.0;13.0;8.5;9.0;34.0;21.0;23.0;81.0;51.0;51.0;2.63;3.25;7.0;8.5;10.0;21.0;41.0;41.0;67.0;201.0;201.0;351.0;2.25;1.57;6.5;1.11;0.5257490835045946;0.6861696117984363;0.7237267881420836;0.7264828308996398;0.7237267881420836;0.7113365737879745;0.7140475164899103
Africa;Africa Cup of Nations;1_8bP2bXmH;6Jzuq5IH;2TrRffR3;Ie1sEVbU;1706126400;2024-01-24;20:00;2024-01-24;20:00;2024-01-24;17:00;SCHEDULED;SCHEDULED;;-1;zBS458hb;Zambia;IDKYO3R8;Morocco;6.5;3.75;1.62;6.5;2.1;2.2;4.33;1.2;;;1.07;9.0;1.36;3.0;2.15;1.67;3.75;1.25;9.0;1.07;1.44;2.63;3.25;1.33;9.0;1.07;26.0;1.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;1.1;5.75;1.14;5.0;1.17;4.25;1.21;2.85;1.4;2.35;1.58;2.1;1.78;1.75;2.05;1.55;2.38;1.45;2.68;1.33;3.3;1.19;4.5;1.16;5.25;1.14;5.75;1.1;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.9;1.13;4.65;1.18;3.55;1.28;2.1;1.78;1.65;2.2;1.43;2.75;1.19;4.5;1.15;5.5;1.12;6.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.25;3.5;2.75;;;;;;;;;;;;;;;;;;;;;;1.62;3.0;6.0;;;;;;;;;;2.25;1.25;1.11;1.62;1.67;1.1;11.0;17.0;23.0;12.0;5.0;4.33;41.0;15.0;2.5;8.0;5.5;6.5;13.0;7.0;9.0;29.0;19.0;21.0;67.0;51.0;51.0;2.63;3.4;8.0;7.5;9.5;23.0;34.0;41.0;67.0;126.0;151.0;351.0;2.2;1.62;6.0;1.13;0.5048704601084851;0.5704160759658258;0.5919759618380381;0.5920724775004949;0.5919759618380381;0.5834274479007028;0.5864454623571397
Albania;Albanian Cup;17_MyD3Jn1A;fJP6EBKp;0KoN0WRf;vRw0hwM3;1706112000;2024-01-24;16:00;2024-01-24;16:00;2024-01-24;13:00;SCHEDULED;SCHEDULED;;-1;0OGo7WXG;Vllaznia;GSOlR98g;Flamurtari;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albania;Albanian Cup;17_MyD3Jn1A;fJP6EBKp;0KoN0WRf;Ued9VFEj;1706112000;2024-01-24;16:00;2024-01-24;16:00;2024-01-24;13:00;SCHEDULED;SCHEDULED;;-1;lQvENR7I;Teuta;6XNAEETR;Skenderbeu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albania;Albanian Cup;17_MyD3Jn1A;fJP6EBKp;0KoN0WRf;j5c5Weap;1706097600;2024-01-24;12:00;2024-01-24;12:00;2024-01-24;09:00;LIVE;SECOND_HALF;1706101265;;nBwoAYyq;Laci;KdZNQkgm;Dinamo Tirana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albania;Albanian Cup;17_MyD3Jn1A;fJP6EBKp;0KoN0WRf;6Duhfaii;1706097600;2024-01-24;12:00;2024-01-24;12:00;2024-01-24;09:00;LIVE;SECOND_HALF;1706101366;;IFgZ7CIA;Partizani;61k9O7hC;Apolonia Fier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albania;Albanian Cup;17_MyD3Jn1A;fJP6EBKp;0KoN0WRf;xhp9KANn;1706097600;2024-01-24;12:00;2024-01-24;12:00;2024-01-24;09:00;LIVE;SECOND_HALF;1706101374;;t6zKRVws;KF Tirana;M5I8JbRT;Korabi Peshkopi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albania;Albanian Cup;17_MyD3Jn1A;fJP6EBKp;0KoN0WRf;lCVrXm7h;1706097600;2024-01-24;12:00;2024-01-24;12:00;2024-01-24;09:00;LIVE;SECOND_HALF;1706101596;;GvGcgC0q;Erzeni;OQmhWBVP;Bylis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
