NAME_PART_1;NAME_PART_2;TEMPLATE_ID;TOURNAMENT_SEASON_ID;TOURNAMENT_STAGE_ID;EVENT_ID;UTIME;DATA;TIME;DATAPT;TIMEPT;DATABR;TIMEBR;STAGE_TYPE;STAGE;STAGE_START_TIME;GAME_TIME;HOME_PARTICIPANT_IDS;HOME_NAME;AWAY_PARTICIPANT_IDS;AWAY_NAME;PINNACLE_MO1FT;PINNACLE_MOXFT;PINNACLE_MO2FT;PINNACLE_MO1HT;PINNACLE_MOXHT;PINNACLE_MO2HT;PINNACLE_HOMEAWAY1FT;PINNACLE_HOMEAWAY2FT;PINNACLE_HOMEAWAY1HT;PINNACLE_HOMEAWAY2HT;PINNACLE_OV05FT;PINNACLE_UN05FT;PINNACLE_OV15FT;PINNACLE_UN15FT;PINNACLE_OV25FT;PINNACLE_UN25FT;PINNACLE_OV35FT;PINNACLE_UN35FT;PINNACLE_OV45FT;PINNACLE_UN45FT;PINNACLE_OV05HT;PINNACLE_UN05HT;PINNACLE_OV15HT;PINNACLE_UN15HT;PINNACLE_OV25HT;PINNACLE_UN25HT;PINNACLE_OV35HT;PINNACLE_UN35HT;PINNACLE_OV45HT;PINNACLE_UN45HT;PINNACLE_AH_M_4_1;PINNACLE_AH_M_4_2;PINNACLE_AH_M_375_1;PINNACLE_AH_M_375_2;PINNACLE_AH_M_35_1;PINNACLE_AH_M_35_2;PINNACLE_AH_M_325_1;PINNACLE_AH_M_325_2;PINNACLE_AH_M_3_1;PINNACLE_AH_M_3_2;PINNACLE_AH_M_275_1;PINNACLE_AH_M_275_2;PINNACLE_AH_M_25_1;PINNACLE_AH_M_25_2;PINNACLE_AH_M_225_1;PINNACLE_AH_M_225_2;PINNACLE_AH_M_2_1;PINNACLE_AH_M_2_2;PINNACLE_AH_M_175_1;PINNACLE_AH_M_175_2;PINNACLE_AH_M_15_1;PINNACLE_AH_M_15_2;PINNACLE_AH_M_125_1;PINNACLE_AH_M_125_2;PINNACLE_AH_M_1_1;PINNACLE_AH_M_1_2;PINNACLE_AH_M_075_1;PINNACLE_AH_M_075_2;PINNACLE_AH_M_05_1;PINNACLE_AH_M_05_2;PINNACLE_AH_M_025_1;PINNACLE_AH_M_025_2;PINNACLE_AH_0_1;PINNACLE_AH_0_2;PINNACLE_AH_P_025_1;PINNACLE_AH_P_025_2;PINNACLE_AH_P_05_1;PINNACLE_AH_P_05_2;PINNACLE_AH_P_075_1;PINNACLE_AH_P_075_2;PINNACLE_AH_P_1_1;PINNACLE_AH_P_1_2;PINNACLE_AH_P_125_1;PINNACLE_AH_P_125_2;PINNACLE_AH_P_15_1;PINNACLE_AH_P_15_2;PINNACLE_AH_P_175_1;PINNACLE_AH_P_175_2;PINNACLE_AH_P_2_1;PINNACLE_AH_P_2_2;PINNACLE_AH_P_225_1;PINNACLE_AH_P_225_2;PINNACLE_AH_P_25_1;PINNACLE_AH_P_25_2;PINNACLE_AH_P_275_1;PINNACLE_AH_P_275_2;PINNACLE_AH_P_3_1;PINNACLE_AH_P_3_2;PINNACLE_AH_P_325_1;PINNACLE_AH_P_325_2;PINNACLE_AH_P_35_1;PINNACLE_AH_P_35_2;PINNACLE_AH_P_375_1;PINNACLE_AH_P_375_2;PINNACLE_AH_P_4_1;PINNACLE_AH_P_4_2;PINNACLE_AH_M_4_1_HT;PINNACLE_AH_M_4_2_HT;PINNACLE_AH_M_375_1_HT;PINNACLE_AH_M_375_2_HT;PINNACLE_AH_M_35_1_HT;PINNACLE_AH_M_35_2_HT;PINNACLE_AH_M_325_1_HT;PINNACLE_AH_M_325_2_HT;PINNACLE_AH_M_3_1_HT;PINNACLE_AH_M_3_2_HT;PINNACLE_AH_M_275_1_HT;PINNACLE_AH_M_275_2_HT;PINNACLE_AH_M_25_1_HT;PINNACLE_AH_M_25_2_HT;PINNACLE_AH_M_225_1_HT;PINNACLE_AH_M_225_2_HT;PINNACLE_AH_M_2_1_HT;PINNACLE_AH_M_2_2_HT;PINNACLE_AH_M_175_1_HT;PINNACLE_AH_M_175_2_HT;PINNACLE_AH_M_15_1_HT;PINNACLE_AH_M_15_2_HT;PINNACLE_AH_M_125_1_HT;PINNACLE_AH_M_125_2_HT;PINNACLE_AH_M_1_1_HT;PINNACLE_AH_M_1_2_HT;PINNACLE_AH_M_075_1_HT;PINNACLE_AH_M_075_2_HT;PINNACLE_AH_M_05_1_HT;PINNACLE_AH_M_05_2_HT;PINNACLE_AH_M_025_1_HT;PINNACLE_AH_M_025_2_HT;PINNACLE_AH_0_1_HT;PINNACLE_AH_0_2_HT;PINNACLE_AH_P_025_1_HT;PINNACLE_AH_P_025_2_HT;PINNACLE_AH_P_05_1_HT;PINNACLE_AH_P_05_2_HT;PINNACLE_AH_P_075_1_HT;PINNACLE_AH_P_075_2_HT;PINNACLE_AH_P_1_1_HT;PINNACLE_AH_P_1_2_HT;PINNACLE_AH_P_125_1_HT;PINNACLE_AH_P_125_2_HT;PINNACLE_AH_P_15_1_HT;PINNACLE_AH_P_15_2_HT;PINNACLE_AH_P_175_1_HT;PINNACLE_AH_P_175_2_HT;PINNACLE_AH_P_2_1_HT;PINNACLE_AH_P_2_2_HT;PINNACLE_AH_P_225_1_HT;PINNACLE_AH_P_225_2_HT;PINNACLE_AH_P_25_1_HT;PINNACLE_AH_P_25_2_HT;PINNACLE_AH_P_275_1_HT;PINNACLE_AH_P_275_2_HT;PINNACLE_AH_P_3_1_HT;PINNACLE_AH_P_3_2_HT;PINNACLE_AH_P_325_2_HT;PINNACLE_AH_P_325_1_HT;PINNACLE_AH_P_35_1_HT;PINNACLE_AH_P_35_2_HT;PINNACLE_AH_P_375_1_HT;PINNACLE_AH_P_375_2_HT;PINNACLE_AH_P_4_1_HT;PINNACLE_AH_P_4_2_HT;PINNACLE_EH_M_4_1;PINNACLE_EH_M_4_X;PINNACLE_EH_M_4_2;PINNACLE_EH_M_3_1;PINNACLE_EH_M_3_X;PINNACLE_EH_M_3_2;PINNACLE_EH_M_2_1;PINNACLE_EH_M_2_X;PINNACLE_EH_M_2_2;PINNACLE_EH_M_1_1;PINNACLE_EH_M_1_X;PINNACLE_EH_M_1_2;PINNACLE_EH_P_1_1;PINNACLE_EH_P_1_X;PINNACLE_EH_P_1_2;PINNACLE_EH_P_2_1;PINNACLE_EH_P_2_X;PINNACLE_EH_P_2_2;PINNACLE_EH_P_3_1;PINNACLE_EH_P_3_X;PINNACLE_EH_P_3_2;PINNACLE_EH_P_4_1;PINNACLE_EH_P_4_X;PINNACLE_EH_P_4_2;PINNACLE_EH_M_4_1_HT;PINNACLE_EH_M_4_X_HT;PINNACLE_EH_M_4_2_HT;PINNACLE_EH_M_3_1_HT;PINNACLE_EH_M_3_X_HT;PINNACLE_EH_M_3_2_HT;PINNACLE_EH_M_2_1_HT;PINNACLE_EH_M_2_X_HT;PINNACLE_EH_M_2_2_HT;PINNACLE_EH_M_1_1_HT;PINNACLE_EH_M_1_X_HT;PINNACLE_EH_M_1_2_HT;PINNACLE_EH_P_1_1_HT;PINNACLE_EH_P_1_X_HT;PINNACLE_EH_P_1_2_HT;PINNACLE_EH_P_2_1_HT;PINNACLE_EH_P_2_X_HT;PINNACLE_EH_P_2_2_HT;PINNACLE_EH_P_3_1_HT;PINNACLE_EH_P_3_X_HT;PINNACLE_EH_P_3_2_HT;PINNACLE_EH_P_4_1_HT;PINNACLE_EH_P_4_X_HT;PINNACLE_EH_P_4_2_HT;PINNACLE_DC_1X;PINNACLE_DC_12;PINNACLE_DC_X2;PINNACLE_DC_1X_HT;PINNACLE_DC_12_HT;PINNACLE_DC_X2_HT;PINNACLE_HT_FT_11;PINNACLE_HT_FT_1X;PINNACLE_HT_FT_12;PINNACLE_HT_FT_X1;PINNACLE_HT_FT_XX;PINNACLE_HT_FT_X2;PINNACLE_HT_FT_21;PINNACLE_HT_FT_2X;PINNACLE_HT_FT_22;PINNACLE_CS_00;PINNACLE_CS_01;PINNACLE_CS_02;PINNACLE_CS_10;PINNACLE_CS_11;PINNACLE_CS_12;PINNACLE_CS_20;PINNACLE_CS_21;PINNACLE_CS_22;PINNACLE_CS_30;PINNACLE_CS_31;PINNACLE_CS_32;PINNACLE_CS_00_HT;PINNACLE_CS_01_HT;PINNACLE_CS_02_HT;PINNACLE_CS_10_HT;PINNACLE_CS_11_HT;PINNACLE_CS_12_HT;PINNACLE_CS_20_HT;PINNACLE_CS_21_HT;PINNACLE_CS_22_HT;PINNACLE_CS_30_HT;PINNACLE_CS_31_HT;PINNACLE_CS_32_HT;PINNACLE_BTTS_Y;PINNACLE_BTTS_N;PINNACLE_BTTS_Y_HT;PINNACLE_BTTS_N_HT;CV_HDA_PINNACLE;CV_HDA_M_PINNACLE;CV_HDA_A_PINNACLE;CV_HDA_P_PINNACLE;CV_HDA_D_PINNACLE;CV_HDA_O_PINNACLE;CV_HDA_S_PINNACLE
Africa;Africa Cup of Nations;1_8bP2bXmH;6Jzuq5IH;2TrRffR3;WvaVGXEB;1706115600;2024-01-24;17:00;2024-01-24;17:00;2024-01-24;14:00;SCHEDULED;SCHEDULED;;-1;QLENxLuR;Namibia;jVn5lThB;Mali;7.15;3.48;1.64;7.05;2.1;2.36;5.1;1.18;;;1.11;7.15;1.48;2.73;2.49;1.56;4.73;1.2;;;1.56;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.06;1.15;5.16;1.18;3.08;1.4;2.37;1.63;2.07;1.83;1.74;2.17;1.55;2.56;1.43;2.93;1.3;3.69;1.18;5.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.46;1.17;3.91;1.27;2.07;1.82;1.63;2.34;1.4;3.08;1.2;4.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.35;1.33;1.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.49;1.56;;;0.5600071792055459;0.5676539934406942;0.5886416143524672;0.5878146003831123;0.5886416143524671;0.5794407386804366;0.5832320789104406
Africa;Africa Cup of Nations;1_8bP2bXmH;6Jzuq5IH;2TrRffR3;tj6IJZUh;1706115600;2024-01-24;17:00;2024-01-24;17:00;2024-01-24;14:00;SCHEDULED;SCHEDULED;;-1;W2ijYvlr;South Africa;QqZVYk95;Tunisia;3.53;3.28;2.25;4.35;2.06;3.08;2.49;1.56;;;1.1;7.46;1.46;2.82;2.44;1.59;4.68;1.2;;;1.54;2.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.57;1.22;3.48;1.33;3.0;1.42;2.49;1.57;1.97;1.92;1.7;2.23;1.51;2.69;1.31;3.64;1.25;4.16;1.23;4.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.3;1.24;3.33;1.35;2.35;1.65;1.63;2.35;1.4;3.05;1.25;4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.69;1.36;1.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.06;1.79;;;0.1834289647488647;0.20751571519667447;0.2142825146799872;0.21413319275253004;0.2142825146799872;0.21136956108276975;0.2125561760852308
Africa;Africa Cup of Nations;1_8bP2bXmH;6Jzuq5IH;2TrRffR3;0U7mXhah;1706126400;2024-01-24;20:00;2024-01-24;20:00;2024-01-24;17:00;SCHEDULED;SCHEDULED;;-1;KzAbFwJ7;Tanzania;phn9mm8H;D.R. Congo;7.81;4.16;1.5;7.43;2.3;2.12;6.0;1.15;;;1.1;5.71;1.37;3.18;2.12;1.76;3.78;1.28;6.17;1.1;1.45;2.83;3.24;1.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.65;1.18;5.3;1.18;5.96;1.15;3.59;1.31;2.76;1.49;2.4;1.61;2.06;1.84;1.75;2.15;1.58;2.47;1.42;2.98;1.26;4.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.28;1.18;4.41;1.23;2.28;1.66;1.78;2.12;1.5;2.66;1.24;4.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.74;1.26;1.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.35;1.62;;;0.5760787620447406;0.672430982517697;0.696028102135498;0.6966379938640579;0.696028102135498;0.6872271641708304;0.6899876628541197
Africa;Africa Cup of Nations;1_8bP2bXmH;6Jzuq5IH;2TrRffR3;Ie1sEVbU;1706126400;2024-01-24;20:00;2024-01-24;20:00;2024-01-24;17:00;SCHEDULED;SCHEDULED;;-1;zBS458hb;Zambia;IDKYO3R8;Morocco;6.85;3.56;1.64;6.6;2.18;2.33;4.97;1.19;;;1.1;7.53;1.39;3.05;2.24;1.68;4.03;1.25;;;1.51;2.65;3.36;1.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.83;1.16;4.98;1.19;3.06;1.41;2.37;1.63;2.08;1.82;1.76;2.13;1.57;2.49;1.45;2.84;1.32;3.53;1.2;4.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.15;1.18;3.75;1.29;2.08;1.81;1.65;2.31;1.41;3.01;1.22;4.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.34;1.32;1.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.23;1.68;;;0.5356047714537355;0.5636687732894005;0.5843218087582558;0.5838266416766916;0.5843218087582559;0.5755668805420048;0.5790109556287072
Albania;Albanian Cup;17_MyD3Jn1A;fJP6EBKp;0KoN0WRf;vRw0hwM3;1706112000;2024-01-24;16:00;2024-01-24;16:00;2024-01-24;13:00;SCHEDULED;SCHEDULED;;-1;0OGo7WXG;Vllaznia;GSOlR98g;Flamurtari;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albania;Albanian Cup;17_MyD3Jn1A;fJP6EBKp;0KoN0WRf;Ued9VFEj;1706112000;2024-01-24;16:00;2024-01-24;16:00;2024-01-24;13:00;SCHEDULED;SCHEDULED;;-1;lQvENR7I;Teuta;6XNAEETR;Skenderbeu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albania;Albanian Cup;17_MyD3Jn1A;fJP6EBKp;0KoN0WRf;j5c5Weap;1706097600;2024-01-24;12:00;2024-01-24;12:00;2024-01-24;09:00;LIVE;SECOND_HALF;1706101265;;nBwoAYyq;Laci;KdZNQkgm;Dinamo Tirana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albania;Albanian Cup;17_MyD3Jn1A;fJP6EBKp;0KoN0WRf;6Duhfaii;1706097600;2024-01-24;12:00;2024-01-24;12:00;2024-01-24;09:00;LIVE;SECOND_HALF;1706101366;;IFgZ7CIA;Partizani;61k9O7hC;Apolonia Fier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albania;Albanian Cup;17_MyD3Jn1A;fJP6EBKp;0KoN0WRf;xhp9KANn;1706097600;2024-01-24;12:00;2024-01-24;12:00;2024-01-24;09:00;LIVE;SECOND_HALF;1706101374;;t6zKRVws;KF Tirana;M5I8JbRT;Korabi Peshkopi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albania;Albanian Cup;17_MyD3Jn1A;fJP6EBKp;0KoN0WRf;lCVrXm7h;1706097600;2024-01-24;12:00;2024-01-24;12:00;2024-01-24;09:00;LIVE;SECOND_HALF;1706101596;;GvGcgC0q;Erzeni;OQmhWBVP;Bylis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
